호텔명,입실,퇴실,지역,숙박유형,별점,등급,가격
게이세이 리치먼드 호텔 도쿄 몬젠나카초,2023-07-25,2023-07-26,도쿄,호텔,8.8,3성급,108821
아키하바라 워싱턴 호텔,2023-07-25,2023-07-26,도쿄,호텔,8.3,3성급,155607
시퀀스 미야시타 파크/ 시부야,2023-07-25,2023-07-26,도쿄,호텔,8.4,4성급,312361
선샤인 시티 프린스 호텔 이케부쿠로,2023-07-25,2023-07-26,도쿄,호텔,8.2,4성급,118641
호텔 빌라 폰테누 그랜드 도쿄-시오도메,2023-07-25,2023-07-26,도쿄,호텔,8.2,3성급,119933
도큐스테이 신주쿠,2023-07-25,2023-07-26,도쿄,호텔,8.5,3성급,140015
E 호텔 히가시 신주쿠,2023-07-25,2023-07-26,도쿄,호텔,7.4,3성급,62878
신주쿠 프린스 호텔,2023-07-25,2023-07-26,도쿄,호텔,7.9,3성급,137075
호텔 메트로폴리탄 도쿄 이케부쿠로,2023-07-25,2023-07-26,도쿄,호텔,8.6,4성급,119147
호텔 몬토레 긴자,2023-07-25,2023-07-26,도쿄,호텔,8.2,4성급,207396
시타딘 센트럴 신주쿠 도쿄,2023-07-25,2023-07-26,도쿄,호텔,8.1,3성급,104246
더 프린스 파크 타워 도쿄,2023-07-25,2023-07-26,도쿄,호텔,8.9,5성급,321293
아카사카 엑셀 호텔 도큐,2023-07-25,2023-07-26,도쿄,호텔,8.1,4성급,145595
다이와 로이넷 호텔 니시-신주쿠,2023-07-25,2023-07-26,도쿄,호텔,8.9,3성급,180690
도쿄 베이 아리아케 워싱턴 호텔,2023-07-25,2023-07-26,도쿄,호텔,7.6,3성급,73565
시나가와 프린스 호텔,2023-07-25,2023-07-26,도쿄,호텔,8.0,3성급,142797
시부야 스트림 엑셀 호텔 도큐,2023-07-25,2023-07-26,도쿄,호텔,8.8,4성급,258905
베스트 웨스턴 호텔 피노 도쿄 아카사카,2023-07-25,2023-07-26,도쿄,호텔,8.2,3성급,119267
후타코다마가와 엑셀 호텔 도큐,2023-07-25,2023-07-26,도쿄,호텔,8.1,3성급,127358
게이오 프레소 인 하마마쓰초,2023-07-25,2023-07-26,도쿄,호텔,8.2,3성급,94299
그랜드 닛코 도쿄 다이바,2023-07-25,2023-07-26,도쿄,호텔,8.8,4성급,148165
도쿄 돔 호텔,2023-07-25,2023-07-26,도쿄,호텔,8.6,4성급,120107
도미인 아키하바라,2023-07-25,2023-07-26,도쿄,호텔,8.4,3성급,104870
수퍼 호텔 프리미어 긴자,2023-07-25,2023-07-26,도쿄,호텔,8.5,3성급,126360
호텔 뉴 오타니 도쿄 더 메인,2023-07-25,2023-07-26,도쿄,호텔,8.5,5성급,308595
소테츠 프레사 인 긴자 나나초메,2023-07-25,2023-07-26,도쿄,호텔,8.2,3성급,112721
베스포크 호텔 신주쿠,2023-07-25,2023-07-26,도쿄,호텔,8.6,3성급,122788
칸데오 호텔 도쿄 신바시,2023-07-25,2023-07-26,도쿄,호텔,8.1,4성급,199142
노가 호텔 우에노,2023-07-25,2023-07-26,도쿄,호텔,8.9,4성급,193857
미마루 도쿄 아사쿠사 스테이션,2023-07-25,2023-07-26,도쿄,호텔,6.6,4성급,489956
호텔 윙 인터네셔널 프리미엄 시부야,2023-07-25,2023-07-26,도쿄,호텔,8.2,3성급,133280
ANA 인터컨티넨탈 도쿄,2023-07-25,2023-07-26,도쿄,호텔,8.1,5성급,403902
소테츠 프레사 인 도쿄-쿄바시,2023-07-25,2023-07-26,도쿄,호텔,7.8,3성급,92718
센츄리온 호텔 우에노,2023-07-25,2023-07-26,도쿄,호텔,7.3,3성급,70337
도큐스테이 시부야 신미나미구치,2023-07-25,2023-07-26,도쿄,호텔,7.9,3성급,168507
힐튼 도쿄 오다이바,2023-07-25,2023-07-26,도쿄,호텔,8.3,5성급,316484
소테츠 프레사 인 도쿄 타마치,2023-07-25,2023-07-26,도쿄,호텔,8.1,3성급,69018
다이와 로이넷 호텔 도쿄 아리아케,2023-07-25,2023-07-26,도쿄,호텔,8.8,3성급,94908
도미인 우에노 오카치마치,2023-07-25,2023-07-26,도쿄,호텔,8.3,3성급,72547
호텔 메트로폴리탄 에드몬트 도쿄,2023-07-25,2023-07-26,도쿄,호텔,8.6,4성급,96137
더 페닌슐라 도쿄,2023-07-25,2023-07-26,도쿄,호텔,9.2,5성급,945262
솔라리아 니시테츠 호텔 긴자,2023-07-25,2023-07-26,도쿄,호텔,8.6,3성급,280659
그랜드 프린스 호텔 신 다카나와,2023-07-25,2023-07-26,도쿄,호텔,8.2,4성급,170918
리치몬드 호텔 프리미어 도쿄 오시아게,2023-07-25,2023-07-26,도쿄,호텔,8.7,3성급,123159
온야도 노노 아사쿠사 핫 스프링,2023-07-25,2023-07-26,도쿄,호텔,8.9,3성급,113886
시바 파크 호텔,2023-07-25,2023-07-26,도쿄,호텔,8.6,3성급,161350
긴자 그랜드 호텔,2023-07-25,2023-07-26,도쿄,호텔,7.6,3성급,84577
JR 큐슈 호텔 블로섬 신주쿠,2023-07-25,2023-07-26,도쿄,호텔,8.7,4성급,215739
라젠트 호텔 신주쿠 가부키초,2023-07-25,2023-07-26,도쿄,호텔,8.4,3성급,72366
토세이 호텔 코코네 우에노,2023-07-25,2023-07-26,도쿄,호텔,8.5,3성급,86621
소세쓰 프레사 인 긴자 산초마에,2023-07-25,2023-07-26,도쿄,호텔,8.2,3성급,122133
도미 인 프리미엄 시부야-진구마에,2023-07-25,2023-07-26,도쿄,호텔,8.3,3성급,141850
소테츠 프레사 인 히가시 신주쿠,2023-07-25,2023-07-26,도쿄,호텔,8.2,3성급,88922
호텔 더 셀레스틴 긴자,2023-07-25,2023-07-26,도쿄,호텔,9.0,4성급,478773
APA 호텔 게이세이 우에노 에키마에,2023-07-25,2023-07-26,도쿄,호텔,7.9,3성급,67329
힐튼 도쿄 베이,2023-07-25,2023-07-26,도쿄,호텔,8.4,4성급,247045
호텔 크라운 힐스 우에노 프리미어,2023-07-25,2023-07-26,도쿄,호텔,8.2,3성급,87057
시부야 도큐 레이 호텔,2023-07-25,2023-07-26,도쿄,호텔,8.1,3성급,197284
메이테츠 인 하마마츠초,2023-07-25,2023-07-26,도쿄,호텔,8.2,3성급,90269
도미인 프리미엄 도쿄 고덴마초,2023-07-25,2023-07-26,도쿄,호텔,8.8,3성급,118038
카락사 호텔 프리미어 도쿄 긴자,2023-07-25,2023-07-26,도쿄,호텔,9.1,4성급,242987
펄 호텔 신주쿠 아케보노바시,2023-07-25,2023-07-26,도쿄,호텔,8.1,3성급,76658
미쓰이 가든 호텔 긴자 고초메,2023-07-25,2023-07-26,도쿄,호텔,8.7,4성급,208828
렘 도쿄 교바시,2023-07-25,2023-07-26,도쿄,호텔,8.6,3성급,187041
시부야 호텔 엔,2023-07-25,2023-07-26,도쿄,호텔,7.8,3성급,118745
인터컨티넨탈 도쿄 베이,2023-07-25,2023-07-26,도쿄,호텔,8.5,5성급,407830
우라야스 브라이튼 호텔 도쿄베이,2023-07-25,2023-07-26,도쿄,호텔,8.6,4성급,150611
아고라 긴자,2023-07-25,2023-07-26,도쿄,호텔,8.7,4성급,284216
호텔 무스 긴자 메이테쓰,2023-07-25,2023-07-26,도쿄,호텔,8.5,3성급,165360
센츄리온 호텔&스파 우에노 스테이션,2023-07-25,2023-07-26,도쿄,호텔,7.8,3성급,71005
시부야 그란벨 호텔,2023-07-25,2023-07-26,도쿄,호텔,7.5,3성급,79735
긴자 캐피탈 호텔 모에기,2023-07-25,2023-07-26,도쿄,호텔,8.7,3성급,87955
호텔 선라이트 신주쿠,2023-07-25,2023-07-26,도쿄,호텔,7.6,3성급,69553
비아 인 신주쿠,2023-07-25,2023-07-26,도쿄,호텔,8.0,3성급,89995
소테츠 프레사 인 도쿄 간다,2023-07-25,2023-07-26,도쿄,호텔,8.3,3성급,83948
비아 인 니혼바시 닌교초,2023-07-25,2023-07-26,도쿄,호텔,8.7,3성급,63459
슈퍼 호텔 우에노 오카치마치,2023-07-25,2023-07-26,도쿄,호텔,8.2,3성급,64560
신주쿠 워싱턴 호텔 도쿄 메인,2023-07-26,2023-07-27,도쿄,호텔,7.4,3성급,158789
호텔 그레이스리 신주쿠,2023-07-26,2023-07-27,도쿄,호텔,8.6,4성급,143507
호텔 그레이스리 긴자,2023-07-26,2023-07-27,도쿄,호텔,8.2,4성급,160130
포 시즌스 호텔 도쿄 앳 오테마치,2023-07-26,2023-07-27,도쿄,호텔,9.0,5성급,1618588
게이오 플라자 호텔 도쿄,2023-07-26,2023-07-27,도쿄,호텔,8.4,4성급,527045
파크 하얏트 도쿄,2023-07-26,2023-07-27,도쿄,호텔,9.1,5성급,1204097
호텔 알라만다 아오야마 도쿄,2023-07-26,2023-07-27,도쿄,호텔,8.5,5성급,330180
토부 호텔 레반트 도쿄,2023-07-26,2023-07-27,도쿄,호텔,8.8,4성급,250833
임페리얼 호텔 도쿄,2023-07-26,2023-07-27,도쿄,호텔,9.0,5성급,410722
도쿄 프린스 호텔,2023-07-26,2023-07-27,도쿄,호텔,8.5,4성급,177498
쉐라톤 그랜드 도쿄 베이 호텔,2023-07-26,2023-07-27,도쿄,호텔,8.0,5성급,261867
하얏트 센트릭 긴자 도쿄,2023-07-26,2023-07-27,도쿄,호텔,8.8,4성급,1003706
신주쿠 그란벨 호텔,2023-07-26,2023-07-27,도쿄,호텔,7.9,4성급,118303
시부야 토부 호텔,2023-07-26,2023-07-27,도쿄,호텔,8.0,3성급,252464
세를리안 타워 도큐 호텔 아 팬 퍼시픽 파트너 호텔,2023-07-26,2023-07-27,도쿄,호텔,8.7,5성급,437020
더 스퀘어 호텔 긴자,2023-07-26,2023-07-27,도쿄,호텔,8.4,3성급,202548
오다큐 호텔 센츄리 서던 타워 호텔,2023-07-26,2023-07-27,도쿄,호텔,8.8,4성급,203483
시부야 엑셀 호텔 도큐,2023-07-26,2023-07-27,도쿄,호텔,8.5,4성급,196648
호텔 진잔소 도쿄,2023-07-26,2023-07-27,도쿄,호텔,9.2,5성급,359587
미츠이 가든 호텔 시오도메 이탈리아가이,2023-07-26,2023-07-27,도쿄,호텔,8.4,3성급,185218
게이세이 리치먼드 호텔 도쿄 몬젠나카초,2023-07-26,2023-07-27,도쿄,호텔,8.8,3성급,112004
아키하바라 워싱턴 호텔,2023-07-26,2023-07-27,도쿄,호텔,8.3,3성급,91264
시퀀스 미야시타 파크/ 시부야,2023-07-26,2023-07-27,도쿄,호텔,8.4,4성급,281776
선샤인 시티 프린스 호텔 이케부쿠로,2023-07-26,2023-07-27,도쿄,호텔,8.2,4성급,121403
호텔 빌라 폰테누 그랜드 도쿄-시오도메,2023-07-26,2023-07-27,도쿄,호텔,8.2,3성급,135992
다이이치 인 이케부쿠로,2023-07-26,2023-07-27,도쿄,호텔,7.8,3성급,86175
도큐스테이 신주쿠,2023-07-26,2023-07-27,도쿄,호텔,8.5,3성급,137071
E 호텔 히가시 신주쿠,2023-07-26,2023-07-27,도쿄,호텔,7.4,3성급,114746
신주쿠 프린스 호텔,2023-07-26,2023-07-27,도쿄,호텔,7.9,3성급,285203
호텔 메트로폴리탄 도쿄 이케부쿠로,2023-07-26,2023-07-27,도쿄,호텔,8.6,4성급,119147
호텔 몬토레 긴자,2023-07-26,2023-07-27,도쿄,호텔,8.2,4성급,174956
시타딘 센트럴 신주쿠 도쿄,2023-07-26,2023-07-27,도쿄,호텔,8.1,3성급,112839
더 프린스 파크 타워 도쿄,2023-07-26,2023-07-27,도쿄,호텔,8.9,5성급,345594
아카사카 엑셀 호텔 도큐,2023-07-26,2023-07-27,도쿄,호텔,8.1,4성급,124972
도쿄 베이 아리아케 워싱턴 호텔,2023-07-26,2023-07-27,도쿄,호텔,7.6,3성급,55716
시나가와 프린스 호텔,2023-07-26,2023-07-27,도쿄,호텔,8.0,3성급,149932
시부야 스트림 엑셀 호텔 도큐,2023-07-26,2023-07-27,도쿄,호텔,8.8,4성급,305456
베스트 웨스턴 호텔 피노 도쿄 아카사카,2023-07-26,2023-07-27,도쿄,호텔,8.2,3성급,158392
후타코다마가와 엑셀 호텔 도큐,2023-07-26,2023-07-27,도쿄,호텔,8.1,3성급,122689
게이오 프레소 인 하마마쓰초,2023-07-26,2023-07-27,도쿄,호텔,8.2,3성급,117236
그랜드 닛코 도쿄 다이바,2023-07-26,2023-07-27,도쿄,호텔,8.8,4성급,234044
도쿄 돔 호텔,2023-07-26,2023-07-27,도쿄,호텔,8.6,4성급,94862
도미인 아키하바라,2023-07-26,2023-07-27,도쿄,호텔,8.4,3성급,102178
수퍼 호텔 프리미어 긴자,2023-07-26,2023-07-27,도쿄,호텔,8.5,3성급,142663
도큐스테이 긴자,2023-07-26,2023-07-27,도쿄,호텔,8.5,3성급,162937
소테츠 프레사 인 긴자 나나초메,2023-07-26,2023-07-27,도쿄,호텔,8.2,3성급,131546
베스포크 호텔 신주쿠,2023-07-26,2023-07-27,도쿄,호텔,8.6,3성급,175990
칸데오 호텔 도쿄 신바시,2023-07-26,2023-07-27,도쿄,호텔,8.1,4성급,203546
노가 호텔 우에노,2023-07-26,2023-07-27,도쿄,호텔,8.9,4성급,199234
미마루 도쿄 아사쿠사 스테이션,2023-07-26,2023-07-27,도쿄,호텔,6.6,4성급,633889
호텔 윙 인터네셔널 프리미엄 시부야,2023-07-26,2023-07-27,도쿄,호텔,8.2,3성급,143697
ANA 인터컨티넨탈 도쿄,2023-07-26,2023-07-27,도쿄,호텔,8.1,5성급,443754
소테츠 프레사 인 도쿄-쿄바시,2023-07-26,2023-07-27,도쿄,호텔,7.8,3성급,93933
센츄리온 호텔 우에노,2023-07-26,2023-07-27,도쿄,호텔,7.3,3성급,82651
도큐스테이 시부야 신미나미구치,2023-07-26,2023-07-27,도쿄,호텔,7.9,3성급,186833
힐튼 도쿄 오다이바,2023-07-26,2023-07-27,도쿄,호텔,8.3,5성급,384302
소테츠 프레사 인 도쿄 타마치,2023-07-26,2023-07-27,도쿄,호텔,8.1,3성급,85283
다이와 로이넷 호텔 도쿄 아리아케,2023-07-26,2023-07-27,도쿄,호텔,8.8,3성급,96929
도미인 우에노 오카치마치,2023-07-26,2023-07-27,도쿄,호텔,8.3,3성급,160684
호텔 메트로폴리탄 에드몬트 도쿄,2023-07-26,2023-07-27,도쿄,호텔,8.6,4성급,210331
벨켄 호텔 도쿄,2023-07-26,2023-07-27,도쿄,호텔,8.2,3성급,86388
더 페닌슐라 도쿄,2023-07-26,2023-07-27,도쿄,호텔,9.2,5성급,901946
솔라리아 니시테츠 호텔 긴자,2023-07-26,2023-07-27,도쿄,호텔,8.6,3성급,244098
그랜드 프린스 호텔 신 다카나와,2023-07-26,2023-07-27,도쿄,호텔,8.2,4성급,155699
리치몬드 호텔 프리미어 도쿄 오시아게,2023-07-26,2023-07-27,도쿄,호텔,8.7,3성급,126405
온야도 노노 아사쿠사 핫 스프링,2023-07-26,2023-07-27,도쿄,호텔,8.9,3성급,123681
시바 파크 호텔,2023-07-26,2023-07-27,도쿄,호텔,8.6,3성급,184834
긴자 그랜드 호텔,2023-07-26,2023-07-27,도쿄,호텔,7.6,3성급,124512
JR 큐슈 호텔 블로섬 신주쿠,2023-07-26,2023-07-27,도쿄,호텔,8.7,4성급,244939
라젠트 호텔 신주쿠 가부키초,2023-07-26,2023-07-27,도쿄,호텔,8.4,3성급,107685
토세이 호텔 코코네 우에노,2023-07-26,2023-07-27,도쿄,호텔,8.5,3성급,92646
소세쓰 프레사 인 긴자 산초마에,2023-07-26,2023-07-27,도쿄,호텔,8.2,3성급,111814
도미 인 프리미엄 시부야-진구마에,2023-07-26,2023-07-27,도쿄,호텔,8.3,3성급,177698
소테츠 프레사 인 히가시 신주쿠,2023-07-26,2023-07-27,도쿄,호텔,8.2,3성급,110167
호텔 마이스테이스 우에노 이리야구치,2023-07-26,2023-07-27,도쿄,호텔,7.5,3성급,94413
다이와 로이넷 호텔 도쿄 쿄바시,2023-07-26,2023-07-27,도쿄,호텔,8.7,4성급,155086
APA 호텔 게이세이 우에노 에키마에,2023-07-26,2023-07-27,도쿄,호텔,7.9,3성급,84803
힐튼 도쿄 베이,2023-07-26,2023-07-27,도쿄,호텔,8.4,4성급,271272
호텔 크라운 힐스 우에노 프리미어,2023-07-26,2023-07-27,도쿄,호텔,8.2,3성급,85260
시부야 도큐 레이 호텔,2023-07-26,2023-07-27,도쿄,호텔,8.1,3성급,195514
메이테츠 인 하마마츠초,2023-07-26,2023-07-27,도쿄,호텔,8.2,3성급,107313
카락사 호텔 프리미어 도쿄 긴자,2023-07-26,2023-07-27,도쿄,호텔,9.1,4성급,208195
미쓰이 가든 호텔 긴자 고초메,2023-07-26,2023-07-27,도쿄,호텔,8.7,4성급,202388
시부야 호텔 엔,2023-07-26,2023-07-27,도쿄,호텔,7.8,3성급,123112
인터컨티넨탈 도쿄 베이,2023-07-26,2023-07-27,도쿄,호텔,8.5,5성급,415850
우라야스 브라이튼 호텔 도쿄베이,2023-07-26,2023-07-27,도쿄,호텔,8.6,4성급,154141
아고라 긴자,2023-07-26,2023-07-27,도쿄,호텔,8.7,4성급,153870
호텔 무스 긴자 메이테쓰,2023-07-26,2023-07-27,도쿄,호텔,8.5,3성급,167476
센츄리온 호텔&스파 우에노 스테이션,2023-07-26,2023-07-27,도쿄,호텔,7.8,3성급,85538
시부야 그란벨 호텔,2023-07-26,2023-07-27,도쿄,호텔,7.5,3성급,358231
긴자 캐피탈 호텔 모에기,2023-07-26,2023-07-27,도쿄,호텔,8.7,3성급,97984
비아 인 신주쿠,2023-07-26,2023-07-27,도쿄,호텔,8.0,3성급,113029
소테츠 프레사 인 도쿄 간다,2023-07-26,2023-07-27,도쿄,호텔,8.3,3성급,90359
비아 인 니혼바시 닌교초,2023-07-26,2023-07-27,도쿄,호텔,8.7,3성급,73365
슈퍼 호텔 우에노 오카치마치,2023-07-26,2023-07-27,도쿄,호텔,8.2,3성급,74279
호텔 선루트 긴자,2023-07-26,2023-07-27,도쿄,호텔,8.1,3성급,121556
호텔 야에노미도리 도쿄,2023-07-26,2023-07-27,도쿄,호텔,8.8,3성급,141870
렘 플러스 긴자,2023-07-26,2023-07-27,도쿄,호텔,8.6,3성급,188791
도쿄 이스트 사이드 호텔 카이에,2023-07-26,2023-07-27,도쿄,호텔,9.3,3성급,103730
우에노 호텔,2023-07-26,2023-07-27,도쿄,호텔,7.5,3성급,62622
신주쿠 워싱턴 호텔 도쿄 메인,2023-07-27,2023-07-28,도쿄,호텔,7.4,3성급,89677
호텔 그레이스리 신주쿠,2023-07-27,2023-07-28,도쿄,호텔,8.6,4성급,187058
호텔 그레이스리 긴자,2023-07-27,2023-07-28,도쿄,호텔,8.2,4성급,157262
포 시즌스 호텔 도쿄 앳 오테마치,2023-07-27,2023-07-28,도쿄,호텔,9.0,5성급,1618588
게이오 플라자 호텔 도쿄,2023-07-27,2023-07-28,도쿄,호텔,8.4,4성급,317854
파크 하얏트 도쿄,2023-07-27,2023-07-28,도쿄,호텔,9.1,5성급,1501037
더 아오야마 그랜드 호텔,2023-07-27,2023-07-28,도쿄,호텔,9.1,4성급,695931
호텔 알라만다 아오야마 도쿄,2023-07-27,2023-07-28,도쿄,호텔,8.5,5성급,402530
토부 호텔 레반트 도쿄,2023-07-27,2023-07-28,도쿄,호텔,8.8,4성급,154000
임페리얼 호텔 도쿄,2023-07-27,2023-07-28,도쿄,호텔,9.0,5성급,401929
JR-이스트 호텔 메츠 시부야,2023-07-27,2023-07-28,도쿄,호텔,8.4,3성급,177444
도쿄 프린스 호텔,2023-07-27,2023-07-28,도쿄,호텔,8.5,4성급,219431
쉐라톤 그랜드 도쿄 베이 호텔,2023-07-27,2023-07-28,도쿄,호텔,8.0,5성급,440910
하얏트 센트릭 긴자 도쿄,2023-07-27,2023-07-28,도쿄,호텔,8.8,4성급,651052
신주쿠 그란벨 호텔,2023-07-27,2023-07-28,도쿄,호텔,7.9,4성급,106321
렘 롯폰기,2023-07-27,2023-07-28,도쿄,호텔,8.6,3성급,99921
세를리안 타워 도큐 호텔 아 팬 퍼시픽 파트너 호텔,2023-07-27,2023-07-28,도쿄,호텔,8.7,5성급,373541
더 스퀘어 호텔 긴자,2023-07-27,2023-07-28,도쿄,호텔,8.4,3성급,202868
오다큐 호텔 센츄리 서던 타워 호텔,2023-07-27,2023-07-28,도쿄,호텔,8.8,4성급,203483
시부야 엑셀 호텔 도큐,2023-07-27,2023-07-28,도쿄,호텔,8.5,4성급,177921
호텔 진잔소 도쿄,2023-07-27,2023-07-28,도쿄,호텔,9.2,5성급,338233
미츠이 가든 호텔 시오도메 이탈리아가이,2023-07-27,2023-07-28,도쿄,호텔,8.4,3성급,161754
게이세이 리치먼드 호텔 도쿄 몬젠나카초,2023-07-27,2023-07-28,도쿄,호텔,8.8,3성급,109609
아키하바라 워싱턴 호텔,2023-07-27,2023-07-28,도쿄,호텔,8.3,3성급,95324
시퀀스 미야시타 파크/ 시부야,2023-07-27,2023-07-28,도쿄,호텔,8.4,4성급,185302
선샤인 시티 프린스 호텔 이케부쿠로,2023-07-27,2023-07-28,도쿄,호텔,8.2,4성급,147401
호텔 빌라 폰테누 그랜드 도쿄-시오도메,2023-07-27,2023-07-28,도쿄,호텔,8.2,3성급,137064
다이이치 인 이케부쿠로,2023-07-27,2023-07-28,도쿄,호텔,7.8,3성급,97170
도큐스테이 신주쿠,2023-07-27,2023-07-28,도쿄,호텔,8.5,3성급,193664
E 호텔 히가시 신주쿠,2023-07-27,2023-07-28,도쿄,호텔,7.4,3성급,143864
신주쿠 프린스 호텔,2023-07-27,2023-07-28,도쿄,호텔,7.9,3성급,242116
호텔 메트로폴리탄 도쿄 이케부쿠로,2023-07-27,2023-07-28,도쿄,호텔,8.6,4성급,179395
호텔 몬토레 긴자,2023-07-27,2023-07-28,도쿄,호텔,8.2,4성급,171087
시타딘 센트럴 신주쿠 도쿄,2023-07-27,2023-07-28,도쿄,호텔,8.1,3성급,115888
호텔 선루트 플라자 신주쿠,2023-07-27,2023-07-28,도쿄,호텔,8.3,3성급,246769
더 프린스 파크 타워 도쿄,2023-07-27,2023-07-28,도쿄,호텔,8.9,5성급,330523
아카사카 엑셀 호텔 도큐,2023-07-27,2023-07-28,도쿄,호텔,8.1,4성급,124972
다이와 로이넷 호텔 니시-신주쿠,2023-07-27,2023-07-28,도쿄,호텔,8.9,3성급,161325
도쿄 베이 아리아케 워싱턴 호텔,2023-07-27,2023-07-28,도쿄,호텔,7.6,3성급,79713
시나가와 프린스 호텔,2023-07-27,2023-07-28,도쿄,호텔,8.0,3성급,165299
시부야 스트림 엑셀 호텔 도큐,2023-07-27,2023-07-28,도쿄,호텔,8.8,4성급,327530
베스트 웨스턴 호텔 피노 도쿄 아카사카,2023-07-27,2023-07-28,도쿄,호텔,8.2,3성급,210779
후타코다마가와 엑셀 호텔 도큐,2023-07-27,2023-07-28,도쿄,호텔,8.1,3성급,109877
게이오 프레소 인 하마마쓰초,2023-07-27,2023-07-28,도쿄,호텔,8.2,3성급,112634
그랜드 닛코 도쿄 다이바,2023-07-27,2023-07-28,도쿄,호텔,8.8,4성급,164208
도쿄 돔 호텔,2023-07-27,2023-07-28,도쿄,호텔,8.6,4성급,331495
수퍼 호텔 프리미어 긴자,2023-07-27,2023-07-28,도쿄,호텔,8.5,3성급,144364
도큐스테이 긴자,2023-07-27,2023-07-28,도쿄,호텔,8.5,3성급,166265
호텔 뉴 오타니 도쿄 더 메인,2023-07-27,2023-07-28,도쿄,호텔,8.5,5성급,334853
소테츠 프레사 인 긴자 나나초메,2023-07-27,2023-07-28,도쿄,호텔,8.2,3성급,135265
베스포크 호텔 신주쿠,2023-07-27,2023-07-28,도쿄,호텔,8.6,3성급,189727
칸데오 호텔 도쿄 신바시,2023-07-27,2023-07-28,도쿄,호텔,8.1,4성급,199142
노가 호텔 우에노,2023-07-27,2023-07-28,도쿄,호텔,8.9,4성급,222577
미마루 도쿄 아사쿠사 스테이션,2023-07-27,2023-07-28,도쿄,호텔,6.6,4성급,467602
호텔 윙 인터네셔널 프리미엄 시부야,2023-07-27,2023-07-28,도쿄,호텔,8.2,3성급,137007
ANA 인터컨티넨탈 도쿄,2023-07-27,2023-07-28,도쿄,호텔,8.1,5성급,429204
소테츠 프레사 인 도쿄-쿄바시,2023-07-27,2023-07-28,도쿄,호텔,7.8,3성급,103439
센츄리온 호텔 우에노,2023-07-27,2023-07-28,도쿄,호텔,7.3,3성급,89186
도큐스테이 시부야 신미나미구치,2023-07-27,2023-07-28,도쿄,호텔,7.9,3성급,169167
힐튼 도쿄 오다이바,2023-07-27,2023-07-28,도쿄,호텔,8.3,5성급,348132
소테츠 프레사 인 도쿄 타마치,2023-07-27,2023-07-28,도쿄,호텔,8.1,3성급,89052
다이와 로이넷 호텔 도쿄 아리아케,2023-07-27,2023-07-28,도쿄,호텔,8.8,3성급,82160
도미인 우에노 오카치마치,2023-07-27,2023-07-28,도쿄,호텔,8.3,3성급,88779
호텔 메트로폴리탄 에드몬트 도쿄,2023-07-27,2023-07-28,도쿄,호텔,8.6,4성급,131828
더 페닌슐라 도쿄,2023-07-27,2023-07-28,도쿄,호텔,9.2,5성급,882609
솔라리아 니시테츠 호텔 긴자,2023-07-27,2023-07-28,도쿄,호텔,8.6,3성급,238423
